mode,period,max_lag,threshold,n_edges,density
log_price,1,3,0.060774011279150206,15,0.017241379310344827
log_price,1,3,0.06583851221907938,6,0.006896551724137931
log_price,1,3,0.07090301315900857,3,0.0034482758620689655
log_price,1,3,0.07596751409893775,2,0.0022988505747126436
log_price,1,3,0.08103201503886694,1,0.0011494252873563218
log_price,1,3,0.08609651597879613,0,0.0
log_price,1,3,0.0911610169187253,0,0.0
log_price,1,3,0.09622551785865449,0,0.0
log_price,1,3,0.10129001879858367,0,0.0
log_price,1,3,0.10635451973851286,0,0.0
log_price,1,3,0.11141902067844203,0,0.0
log_price,1,3,0.11648352161837122,0,0.0
log_price,1,3,0.1215480225583004,0,0.0
log_price,2,1,0.0,868,0.9977011494252873
log_price,2,1,0.0050645009399291835,865,0.9942528735632183
log_price,2,1,0.010129001879858367,863,0.9919540229885058
log_price,2,1,0.015193502819787551,857,0.9850574712643678
log_price,2,1,0.020258003759716734,847,0.9735632183908046
log_price,2,1,0.025322504699645917,826,0.9494252873563218
log_price,2,1,0.030387005639575103,796,0.9149425287356322
log_price,2,1,0.035451506579504286,765,0.8793103448275862
log_price,2,1,0.04051600751943347,721,0.828735632183908
log_price,2,1,0.04558050845936265,654,0.7517241379310344
log_price,2,1,0.050645009399291833,580,0.6666666666666666
log_price,2,1,0.055709510339221016,493,0.5666666666666667
log_price,2,1,0.060774011279150206,411,0.4724137931034483
log_price,2,1,0.06583851221907938,329,0.3781609195402299
log_price,2,1,0.07090301315900857,251,0.2885057471264368
log_price,2,1,0.07596751409893775,191,0.21954022988505748
log_price,2,1,0.08103201503886694,138,0.15862068965517243
log_price,2,1,0.08609651597879613,90,0.10344827586206896
log_price,2,1,0.0911610169187253,52,0.059770114942528735
log_price,2,1,0.09622551785865449,29,0.03333333333333333
log_price,2,1,0.10129001879858367,16,0.01839080459770115
log_price,2,1,0.10635451973851286,8,0.009195402298850575
log_price,2,1,0.11141902067844203,1,0.0011494252873563218
log_price,2,1,0.11648352161837122,0,0.0
log_price,2,1,0.1215480225583004,0,0.0
log_price,2,2,0.0,870,1.0
log_price,2,2,0.0050645009399291835,867,0.996551724137931
log_price,2,2,0.010129001879858367,862,0.9908045977011494
log_price,2,2,0.015193502819787551,857,0.9850574712643678
log_price,2,2,0.020258003759716734,840,0.9655172413793104
log_price,2,2,0.025322504699645917,818,0.9402298850574713
log_price,2,2,0.030387005639575103,768,0.8827586206896552
log_price,2,2,0.035451506579504286,711,0.8172413793103448
log_price,2,2,0.04051600751943347,633,0.7275862068965517
log_price,2,2,0.04558050845936265,528,0.6068965517241379
log_price,2,2,0.050645009399291833,431,0.4954022988505747
log_price,2,2,0.055709510339221016,328,0.37701149425287356
log_price,2,2,0.060774011279150206,229,0.2632183908045977
log_price,2,2,0.06583851221907938,156,0.1793103448275862
log_price,2,2,0.07090301315900857,104,0.11954022988505747
log_price,2,2,0.07596751409893775,55,0.06321839080459771
log_price,2,2,0.08103201503886694,30,0.034482758620689655
log_price,2,2,0.08609651597879613,17,0.01954022988505747
log_price,2,2,0.0911610169187253,8,0.009195402298850575
log_price,2,2,0.09622551785865449,1,0.0011494252873563218
log_price,2,2,0.10129001879858367,1,0.0011494252873563218
log_price,2,2,0.10635451973851286,0,0.0
log_price,2,2,0.11141902067844203,0,0.0
log_price,2,2,0.11648352161837122,0,0.0
log_price,2,2,0.1215480225583004,0,0.0
log_price,2,3,0.0,818,0.9402298850574713
log_price,2,3,0.0050645009399291835,786,0.903448275862069
log_price,2,3,0.010129001879858367,732,0.8413793103448276
log_price,2,3,0.015193502819787551,648,0.7448275862068966
log_price,2,3,0.020258003759716734,549,0.6310344827586207
log_price,2,3,0.025322504699645917,438,0.503448275862069
log_price,2,3,0.030387005639575103,330,0.3793103448275862
log_price,2,3,0.035451506579504286,219,0.2517241379310345
log_price,2,3,0.04051600751943347,153,0.17586206896551723
log_price,2,3,0.04558050845936265,104,0.11954022988505747
log_price,2,3,0.050645009399291833,57,0.06551724137931035
log_price,2,3,0.055709510339221016,30,0.034482758620689655
log_price,2,3,0.060774011279150206,13,0.014942528735632184
log_price,2,3,0.06583851221907938,6,0.006896551724137931
log_price,2,3,0.07090301315900857,1,0.0011494252873563218
log_price,2,3,0.07596751409893775,0,0.0
log_price,2,3,0.08103201503886694,0,0.0
log_price,2,3,0.08609651597879613,0,0.0
log_price,2,3,0.0911610169187253,0,0.0
log_price,2,3,0.09622551785865449,0,0.0
log_price,2,3,0.10129001879858367,0,0.0
log_price,2,3,0.10635451973851286,0,0.0
log_price,2,3,0.11141902067844203,0,0.0
log_price,2,3,0.11648352161837122,0,0.0
log_price,2,3,0.1215480225583004,0,0.0
log_price,3,1,0.0,836,0.960919540229885
log_price,3,1,0.0050645009399291835,818,0.9402298850574713
log_price,3,1,0.010129001879858367,790,0.9080459770114943
log_price,3,1,0.015193502819787551,764,0.8781609195402299
log_price,3,1,0.020258003759716734,732,0.8413793103448276
log_price,3,1,0.025322504699645917,700,0.8045977011494253
log_price,3,1,0.030387005639575103,647,0.7436781609195402
