period,max_lag,source,target,F_stat,p_value,SSR_full,SSR_restricted,n_obs,n_weeks_used,q,k,skipped_reason,p_value_fdr,significant_fdr,significant_raw
0,1,AAPL,META,0.02555052678364947,0.8730604560660609,632.1596790749558,632.1884705416434,564,141,1,3,,0.9928922833692457,False,False
0,1,AAPL,MPC,0.27188596707815577,0.6022752235534399,587.5944365645493,587.8792113981234,564,141,1,3,,0.9614301733788857,False,False
0,1,AAPL,MRK,6.73936577651867,0.009677891749379218,596.9558987320057,604.1272073844218,564,141,1,3,,0.3602033428279752,False,True
0,1,AAPL,MS,0.8162182551532944,0.36667594987642704,595.9035944103639,596.7705951092395,564,141,1,3,,0.883382229567739,False,False
0,1,AAPL,MSFT,0.040330259044189826,0.8409090205126353,670.1001048077933,670.148278267352,564,141,1,3,,0.9820011380483123,False,False
0,1,AAPL,NFLX,1.4156969203688874,0.23461626342186076,476.9667673826692,478.1704044302663,564,141,1,3,,0.8230489886170115,False,False
0,1,AAPL,NVDA,1.5024912410533051,0.22080275233723376,646.4561088666175,648.1874718635827,564,141,1,3,,0.8048037275579187,False,False
0,1,AAPL,ORCL,0.5901292835233491,0.4426923665013537,646.3440240813943,647.0239287798627,564,141,1,3,,0.9155687118388833,False,False
0,1,AAPL,PFE,0.02802374876224027,0.8671133268659963,561.3105791919265,561.3386184551152,564,141,1,3,,0.9902976909591823,False,False
0,1,AAPL,SLB,0.14530573044639325,0.7032066694223404,565.0334211498862,565.1797715848003,564,141,1,3,,0.9797177879717952,False,False
0,1,AAPL,TMUS,0.025783599913793948,0.8724877412124471,624.8851397785206,624.9138595440039,564,141,1,3,,0.9928922833692457,False,False
0,1,AAPL,UNH,0.11930880851578642,0.7299148307094212,592.4606168715773,592.5866164621146,564,141,1,3,,0.9797177879717952,False,False
0,1,AAPL,WFC,1.5279059204865268,0.21694429570983662,605.3324414589406,606.9810885554962,564,141,1,3,,0.8048037275579187,False,False
0,1,AAPL,XOM,0.21531735794360304,0.6428112577787861,552.6989432344143,552.911074564531,564,141,1,3,,0.9726000371768264,False,False
0,1,ABBV,AAPL,0.8265209640924348,0.3636708629902158,535.5967044919059,536.3857987959369,564,141,1,3,,0.883382229567739,False,False
0,1,ABBV,AMD,1.3975493345215109,0.23763514833348032,558.1165288414916,559.5068949439299,564,141,1,3,,0.8269703162005115,False,False
0,1,ABBV,AVGO,2.970244078527183,0.08536004458749612,626.033102840211,629.3476681105731,564,141,1,3,,0.8048037275579187,False,False
0,1,ABBV,BAC,0.28424202922896863,0.594145360489327,597.7930912768088,598.095975272038,564,141,1,3,,0.9589275260103556,False,False
0,1,ABBV,C,0.5996480013517288,0.4390385874411482,620.4693429575739,621.132557220327,564,141,1,3,,0.9155687118388833,False,False
0,1,ABBV,CMCSA,0.52870183136746,0.4674564593280517,609.5009635767323,610.0753740502853,564,141,1,3,,0.9283269472652494,False,False
0,1,ABBV,COP,8.330756323203284,0.004048018602400614,504.6474429976882,512.1413732592592,564,141,1,3,,0.2672487129566182,False,True
0,1,ABBV,CVX,1.1203661787878654,0.29029515638619807,547.9971131012238,549.0915113750063,564,141,1,3,,0.869286890941408,False,False
0,1,ABBV,DIS,1.835680832806119,0.17600336095680236,611.4971899935626,613.4981056281188,564,141,1,3,,0.8048037275579187,False,False
0,1,ABBV,EOG,0.5038885720975748,0.47809142229053303,537.8142360194588,538.2972992056292,564,141,1,3,,0.9283269472652494,False,False
0,1,ABBV,GOOGL,3.287725430785971,0.07033391885974676,638.8472382211314,642.5911853004309,564,141,1,3,,0.7829421549987592,False,False
0,1,ABBV,GS,0.773254821135612,0.379588525766822,607.6400714970475,608.4776126999001,564,141,1,3,,0.883382229567739,False,False
0,1,ABBV,JNJ,2.768218122852816,0.09671159262782125,602.335294138085,605.3074785895412,564,141,1,3,,0.8048037275579187,False,False
0,1,ABBV,JPM,0.0009501449084079015,0.9754205276014297,632.7379952593841,632.7390669042763,564,141,1,3,,0.9986209641422782,False,False
0,1,ABBV,LLY,0.020353205554898696,0.8866062505776516,588.0706084712988,588.0919438045876,564,141,1,3,,0.9930049671021131,False,False
0,1,ABBV,META,2.8969169046994723,0.08930316492420216,628.940718315366,632.1884705416434,564,141,1,3,,0.8048037275579187,False,False
