mode,period,max_lag,source,target,F_stat,p_value,F_stat_cluster,p_value_cluster,n_clusters,cluster_reliable,SSR_full,SSR_restricted,n_obs,n_weeks_used,q,k,skipped_reason,p_value_fdr,p_value_cluster_fdr,significant_fdr,significant_cluster_fdr,significant_raw,significant_cluster_raw
log_price,0,1,GOOGL,BAC,0.0007865055121636931,0.9776365402139765,0.0004328386839425003,0.9834312233879617,140,True,9.619265556980281,9.619279139754758,560,140,1,3,,0.9956421884985611,0.9973817769227555,False,False,False,False
log_price,0,1,GOOGL,MS,3.1187723896884934,0.0779428234026842,2.0648913972438274,0.15297279745883258,140,True,5.332541904879874,5.362400045741268,560,140,1,3,,0.5466418602328155,0.6415395855731166,False,False,False,False
log_price,0,1,GOOGL,GS,0.8992315759192324,0.3433990677219996,0.6170977360041889,0.4334648219601531,140,True,8.598333436481445,8.612214752327704,560,140,1,3,,0.7738478897399319,0.8660132408439788,False,False,False,False
log_price,0,1,GOOGL,C,1.4868234193462868,0.2232260747048209,0.9583457117061589,0.32930478306362343,140,True,18.268276392054048,18.317040667046502,560,140,1,3,,0.6854772824648784,0.7910984571082836,False,False,False,False
log_price,0,1,GOOGL,WFC,0.01780515950882365,0.8938967900679867,0.013656043532089691,0.9071404055833225,140,True,2.911359840715094,2.911452905753427,560,140,1,3,,0.9780298995578665,0.9818142321619336,False,False,False,False
log_price,0,1,GOOGL,AAPL,0.5033254591664155,0.47833944106008397,0.46463299776499695,0.49660081186304506,140,True,2.018049047528584,2.0198726300482748,560,140,1,3,,0.856541709102821,0.8891411253304363,False,False,False,False
log_price,0,1,GOOGL,MSFT,2.164786102754451,0.14176898966792117,2.07970405680301,0.1515185015365669,140,True,3.406146351150517,3.4193843732060256,560,140,1,3,,0.6259747156261236,0.6415395855731166,False,False,False,False
log_price,0,1,GOOGL,NVDA,1.8943463540405319,0.1692655536080947,1.471974972791223,0.22709204729080612,140,True,2.4491318483427684,2.457461298948644,560,140,1,3,,0.6409411881810702,0.7055636924663705,False,False,False,False
log_price,0,1,GOOGL,AVGO,0.22715222773459548,0.6338304081069741,0.24373060115841297,0.6223037465127599,140,True,1.0468119573781438,1.0472388616297374,560,140,1,3,,0.9130233805247402,0.924362753609607,False,False,False,False
log_price,0,1,GOOGL,AMD,0.8882016320728566,0.3463736889601432,0.6475486127674875,0.42236472338390196,140,True,8.435316428392543,8.448767526810405,560,140,1,3,,0.7746660909905516,0.8600187350416229,False,False,False,False
log_price,0,1,GOOGL,ORCL,0.27269959888690243,0.6017341932783253,0.20784579264189704,0.6491725671597008,140,True,10.685339289296447,10.690570685594762,560,140,1,3,,0.9041601867912661,0.9386520035619943,False,False,False,False
log_price,0,1,GOOGL,UNH,0.009445391928445825,0.9226125288279063,0.011066192368015206,0.9163719579458443,140,True,1.4461925442101418,1.446217068187492,560,140,1,3,,0.9799545566813205,0.981859512491853,False,False,False,False
log_price,0,1,GOOGL,JNJ,1.6319409428560279,0.20196699878618996,1.3034407862036987,0.25554864876683553,140,True,3.774021308221657,3.7850787227496605,560,140,1,3,,0.6655730641817623,0.7138377798059508,False,False,False,False
log_price,0,1,GOOGL,LLY,0.03461032690166956,0.8524822936911315,0.04696804523720726,0.8287434409298007,140,True,2.581605383593333,2.5817657968900245,560,140,1,3,,0.9757480113989538,0.9816529748990469,False,False,False,False
log_price,0,1,GOOGL,ABBV,0.014906593343233427,0.9028697492797094,0.012202900140595095,0.9121985650120693,140,True,4.829066703430439,4.829195940295027,560,140,1,3,,0.9780298995578665,0.981859512491853,False,False,False,False
