mode,period,max_lag,source,target,F_stat,p_value,F_stat_cluster,p_value_cluster,n_clusters,cluster_reliable,SSR_full,SSR_restricted,n_obs,n_weeks_used,q,k,skipped_reason,p_value_fdr,p_value_cluster_fdr,significant_fdr,significant_cluster_fdr,significant_raw,significant_cluster_raw
log_return,0,1,GOOGL,MPC,0.004061811794291981,0.9492060512316631,0.0031295332004379166,0.9554675865912208,141,True,587.8744473856914,587.8787037767145,564,141,1,3,,0.9986460595925003,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,JPM,1.3424318777292203,0.2470985230332439,1.177708789505558,0.27968811210896577,141,True,631.2287539005695,632.7392380384936,564,141,1,3,,0.8422941970488725,0.9863877696957353,False,False,False,False
log_return,0,1,GOOGL,BAC,0.8558466312461627,0.3553013661399135,0.7451489721849355,0.3894928507591783,141,True,597.1854719712767,598.0965221930517,564,141,1,3,,0.8833548406067465,0.9863877696957353,False,False,False,False
log_return,0,1,GOOGL,MS,0.9343414233183714,0.3341538530780074,0.7617859166774144,0.38426471469034473,141,True,595.7785242461707,596.7707890488921,564,141,1,3,,0.8771615358442454,0.9863877696957353,False,False,False,False
log_return,0,1,GOOGL,GS,0.6642247587954891,0.41541824390428783,0.5132934623978008,0.4749100365863329,141,True,607.7586585088129,608.4782455825275,564,141,1,3,,0.9084233612784777,0.9969675216441447,False,False,False,False
log_return,0,1,GOOGL,C,0.005623225399770717,0.9402508573522694,0.004114822416809283,0.9489447733998614,141,True,621.1265232663422,621.1327491744387,564,141,1,3,,0.9986460595925003,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,WFC,0.18874003470405087,0.6641343977942706,0.1231920729837743,0.7261255018949504,141,True,606.7754855724979,606.9796260826664,564,141,1,3,,0.9725991131482278,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,AAPL,0.13539919770604944,0.7130371547895831,0.11954893170179444,0.7300432386351124,141,True,536.2554808477277,536.3849078742379,564,141,1,3,,0.979765201987997,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,MSFT,0.3751063528362354,0.540482107035337,0.37282391671992793,0.5424589739766006,141,True,669.7000703795588,670.1478578143079,564,141,1,3,,0.9372745584434671,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,NVDA,0.20453040922490892,0.6512634333307081,0.15726643569007628,0.6922896373250876,141,True,647.9505542778096,648.1867852796348,564,141,1,3,,0.9725991131482278,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,AVGO,0.1736855771966796,0.6770162898783547,0.10268823053426114,0.7491049911981553,141,True,629.1529327501407,629.3477184725466,564,141,1,3,,0.9739949757766041,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,AMD,0.019049641635223505,0.890273788616338,0.015589008220621096,0.9008166935496288,141,True,559.4878966481538,559.5068949439299,564,141,1,3,,0.9929976873028385,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,ORCL,1.400273896078644,0.23717891642189404,1.961360944187763,0.16358027009931805,141,True,645.4120952827564,647.0230644614335,564,141,1,3,,0.8269451717771769,0.9863877696957353,False,False,False,False
log_return,0,1,GOOGL,UNH,0.00727402867789936,0.9320629260087157,0.005348076023182804,0.9418066175445917,141,True,592.5781569544034,592.585840431244,564,141,1,3,,0.9986460595925003,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,JNJ,1.1198251692757581,0.29041153617316406,0.8758411345049992,0.35095480449135463,141,True,604.1007104725815,605.3065699741226,564,141,1,3,,0.8692955467125104,0.9863877696957353,False,False,False,False
log_return,0,1,GOOGL,LLY,0.7138470720475161,0.39852980129996973,0.3664220664671538,0.545941035523325,141,True,587.3452178509664,588.0925880186028,564,141,1,3,,0.8982407438626261,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,ABBV,1.1626328719753303,0.28138357492475335,0.8013715944738911,0.37222012850754205,141,True,592.4652671567811,593.6931095722894,564,141,1,3,,0.8692955467125104,0.9863877696957353,False,False,False,False
log_return,0,1,GOOGL,PFE,1.695893702470137,0.19336025686603736,0.8792936337174275,0.3500100807865417,141,True,559.6469447379297,561.338748176767,564,141,1,3,,0.8048164248230615,0.9863877696957353,False,False,False,False
