method,mode,period,max_lag,K,alpha,n_edges,density
granger,log_price,1,3,5,0.3,146,0.167816091954023
granger,log_price,1,3,5,0.5,150,0.1724137931034483
granger,log_price,1,3,4,0.001,2,0.0022988505747126436
granger,log_price,1,3,4,0.005,10,0.011494252873563218
granger,log_price,1,3,4,0.01,14,0.016091954022988506
granger,log_price,1,3,4,0.02,23,0.026436781609195402
granger,log_price,1,3,4,0.05,52,0.059770114942528735
granger,log_price,1,3,4,0.1,81,0.09310344827586207
granger,log_price,1,3,4,0.2,114,0.1310344827586207
granger,log_price,1,3,4,0.3,118,0.135632183908046
granger,log_price,1,3,4,0.5,120,0.13793103448275862
granger,log_price,2,1,none,0.001,4,0.004597701149425287
granger,log_price,2,1,none,0.005,28,0.03218390804597701
granger,log_price,2,1,none,0.01,45,0.05172413793103448
granger,log_price,2,1,none,0.02,77,0.08850574712643679
granger,log_price,2,1,none,0.05,117,0.13448275862068965
granger,log_price,2,1,none,0.1,166,0.19080459770114944
granger,log_price,2,1,none,0.2,289,0.332183908045977
granger,log_price,2,1,none,0.3,383,0.44022988505747124
granger,log_price,2,1,none,0.5,532,0.6114942528735632
granger,log_price,2,1,5,0.001,4,0.004597701149425287
granger,log_price,2,1,5,0.005,20,0.022988505747126436
granger,log_price,2,1,5,0.01,26,0.029885057471264367
granger,log_price,2,1,5,0.02,44,0.05057471264367816
granger,log_price,2,1,5,0.05,68,0.07816091954022988
granger,log_price,2,1,5,0.1,96,0.1103448275862069
granger,log_price,2,1,5,0.2,125,0.14367816091954022
granger,log_price,2,1,5,0.3,138,0.15862068965517243
granger,log_price,2,1,5,0.5,148,0.17011494252873563
granger,log_price,2,1,4,0.001,4,0.004597701149425287
granger,log_price,2,1,4,0.005,18,0.020689655172413793
granger,log_price,2,1,4,0.01,22,0.02528735632183908
granger,log_price,2,1,4,0.02,40,0.04597701149425287
granger,log_price,2,1,4,0.05,60,0.06896551724137931
granger,log_price,2,1,4,0.1,81,0.09310344827586207
granger,log_price,2,1,4,0.2,102,0.11724137931034483
granger,log_price,2,1,4,0.3,112,0.12873563218390804
granger,log_price,2,1,4,0.5,119,0.1367816091954023
granger,log_price,2,2,none,0.001,7,0.008045977011494253
granger,log_price,2,2,none,0.005,28,0.03218390804597701
granger,log_price,2,2,none,0.01,43,0.04942528735632184
granger,log_price,2,2,none,0.02,71,0.08160919540229886
granger,log_price,2,2,none,0.05,139,0.15977011494252874
granger,log_price,2,2,none,0.1,204,0.23448275862068965
granger,log_price,2,2,none,0.2,352,0.4045977011494253
granger,log_price,2,2,none,0.3,472,0.542528735632184
granger,log_price,2,2,none,0.5,650,0.7471264367816092
granger,log_price,2,2,5,0.001,7,0.008045977011494253
granger,log_price,2,2,5,0.005,28,0.03218390804597701
granger,log_price,2,2,5,0.01,41,0.047126436781609195
granger,log_price,2,2,5,0.02,60,0.06896551724137931
granger,log_price,2,2,5,0.05,108,0.12413793103448276
granger,log_price,2,2,5,0.1,128,0.1471264367816092
granger,log_price,2,2,5,0.2,146,0.167816091954023
granger,log_price,2,2,5,0.3,150,0.1724137931034483
granger,log_price,2,2,5,0.5,150,0.1724137931034483
granger,log_price,2,2,4,0.001,7,0.008045977011494253
granger,log_price,2,2,4,0.005,28,0.03218390804597701
granger,log_price,2,2,4,0.01,38,0.04367816091954023
granger,log_price,2,2,4,0.02,56,0.06436781609195402
granger,log_price,2,2,4,0.05,93,0.10689655172413794
granger,log_price,2,2,4,0.1,108,0.12413793103448276
granger,log_price,2,2,4,0.2,118,0.135632183908046
granger,log_price,2,2,4,0.3,120,0.13793103448275862
granger,log_price,2,2,4,0.5,120,0.13793103448275862
granger,log_price,2,3,none,0.001,7,0.008045977011494253
granger,log_price,2,3,none,0.005,22,0.02528735632183908
granger,log_price,2,3,none,0.01,28,0.03218390804597701
granger,log_price,2,3,none,0.02,45,0.05172413793103448
granger,log_price,2,3,none,0.05,93,0.10689655172413794
granger,log_price,2,3,none,0.1,156,0.1793103448275862
granger,log_price,2,3,none,0.2,274,0.31494252873563217
granger,log_price,2,3,none,0.3,381,0.4379310344827586
granger,log_price,2,3,none,0.5,541,0.6218390804597701
granger,log_price,2,3,5,0.001,7,0.008045977011494253
granger,log_price,2,3,5,0.005,22,0.02528735632183908
granger,log_price,2,3,5,0.01,28,0.03218390804597701
granger,log_price,2,3,5,0.02,44,0.05057471264367816
granger,log_price,2,3,5,0.05,77,0.08850574712643679
granger,log_price,2,3,5,0.1,103,0.11839080459770115
granger,log_price,2,3,5,0.2,136,0.15632183908045977
granger,log_price,2,3,5,0.3,149,0.17126436781609194
granger,log_price,2,3,5,0.5,150,0.1724137931034483
granger,log_price,2,3,4,0.001,7,0.008045977011494253
granger,log_price,2,3,4,0.005,22,0.02528735632183908
granger,log_price,2,3,4,0.01,28,0.03218390804597701
granger,log_price,2,3,4,0.02,43,0.04942528735632184
granger,log_price,2,3,4,0.05,67,0.07701149425287357
granger,log_price,2,3,4,0.1,89,0.10229885057471265
granger,log_price,2,3,4,0.2,113,0.12988505747126436
granger,log_price,2,3,4,0.3,120,0.13793103448275862
granger,log_price,2,3,4,0.5,120,0.13793103448275862
granger,log_price,3,1,none,0.001,20,0.022988505747126436
granger,log_price,3,1,none,0.005,50,0.05747126436781609
granger,log_price,3,1,none,0.01,64,0.0735632183908046
granger,log_price,3,1,none,0.02,99,0.11379310344827587
granger,log_price,3,1,none,0.05,163,0.18735632183908046
granger,log_price,3,1,none,0.1,232,0.26666666666666666
granger,log_price,3,1,none,0.2,339,0.3896551724137931
granger,log_price,3,1,none,0.3,433,0.49770114942528737
granger,log_price,3,1,none,0.5,573,0.6586206896551724
granger,log_price,3,1,5,0.001,19,0.021839080459770115
granger,log_price,3,1,5,0.005,44,0.05057471264367816
granger,log_price,3,1,5,0.01,55,0.06321839080459771
granger,log_price,3,1,5,0.02,79,0.09080459770114943
granger,log_price,3,1,5,0.05,99,0.11379310344827587
granger,log_price,3,1,5,0.1,119,0.1367816091954023
granger,log_price,3,1,5,0.2,141,0.16206896551724137
granger,log_price,3,1,5,0.3,148,0.17011494252873563
granger,log_price,3,1,5,0.5,150,0.1724137931034483
granger,log_price,3,1,4,0.001,18,0.020689655172413793
granger,log_price,3,1,4,0.005,42,0.04827586206896552
granger,log_price,3,1,4,0.01,51,0.05862068965517241
granger,log_price,3,1,4,0.02,69,0.07931034482758621
granger,log_price,3,1,4,0.05,85,0.09770114942528736
granger,log_price,3,1,4,0.1,101,0.11609195402298851
granger,log_price,3,1,4,0.2,115,0.13218390804597702
granger,log_price,3,1,4,0.3,120,0.13793103448275862
granger,log_price,3,1,4,0.5,120,0.13793103448275862
granger,log_price,3,2,none,0.001,9,0.010344827586206896
granger,log_price,3,2,none,0.005,26,0.029885057471264367
granger,log_price,3,2,none,0.01,39,0.04482758620689655
granger,log_price,3,2,none,0.02,63,0.07241379310344828
granger,log_price,3,2,none,0.05,106,0.12183908045977011
granger,log_price,3,2,none,0.1,166,0.19080459770114944
granger,log_price,3,2,none,0.2,264,0.30344827586206896
granger,log_price,3,2,none,0.3,337,0.3873563218390805
granger,log_price,3,2,none,0.5,514,0.5908045977011495
granger,log_price,3,2,5,0.001,9,0.010344827586206896
granger,log_price,3,2,5,0.005,25,0.028735632183908046
granger,log_price,3,2,5,0.01,33,0.03793103448275862
granger,log_price,3,2,5,0.02,51,0.05862068965517241
