Date,GOOGL,META,NFLX,DIS,CMCSA,TMUS,XOM,CVX,COP,SLB,EOG,MPC,JPM,BAC,MS,GS,C,WFC,AAPL,MSFT,NVDA,AVGO,AMD,ORCL,UNH,JNJ,LLY,ABBV,PFE,MRK
2018-11-21,0.37623385569272205,-0.7964073542822822,0.48473569367099806,0.5479104839432938,0.415704376452258,0.6155279571716267,-0.24153920803610476,0.7022723318179714,0.996630924091431,-1.2065453980431708,0.6535142729647522,0.6112068885713717,0.7451489494520565,0.4783775046751766,0.1970761479258414,-0.5228304012131334,0.176745988242316,0.3563126257909286,0.5972408159533391,0.7962115557175743,0.07117493296422206,0.2262658118648647,0.655399806743509,0.49735004260474663,1.0952022230578646,1.2854802784888189,1.3258428076317113,0.6047305034798494,1.4409186517547052,1.1737255748715432
2018-11-23,0.2977222940017287,-0.9326932305173213,0.4590746030899941,0.4704391427982231,0.38560431057469663,0.6420031784212403,-0.8603645405478668,0.37565682329470906,0.8714342494744843,-1.3297113353208942,0.23631313373580054,0.48377190918016727,0.7026268096100012,0.43691810508838325,0.12776587926385968,-0.636551169734098,0.07497888092049251,0.22633256862272608,0.4967304446356965,0.7949496003558177,0.07487980978108748,0.22428372701048438,0.7178372021798576,0.5107753896324158,1.1115850402715903,1.3035408253714138,1.3555160944918132,0.5768933926349641,1.4477056951066432,1.1626873976131358
2018-11-26,0.44900888516757426,-0.7287848261077171,0.47933601291590877,0.5088493904636767,0.4805995695964188,0.6801451934743492,-0.4132485707014776,0.49046647125988874,0.9389070189306523,-1.3042221652756552,0.38358810441123464,0.6393287677135238,0.813892823272116,0.5180209987043609,0.2549216634718837,-0.4670613118819185,0.25366634777081554,0.452822702445105,0.5492112904517275,0.9005849455924213,0.1748715925961603,0.3303612582947122,0.7827776826389116,0.4366512378349847,1.180355782830054,1.3065691427737007,1.3328125100998212,0.609531456226478,1.4815526047397165,1.2332028975428386
2018-11-27,0.4278077767481364,-0.7885661194699938,0.5191075727449234,0.6182891615450264,0.6262202848223671,0.6801451934743492,-0.39245861587252134,0.5094663375659128,0.9818968413856343,-1.3464524223093155,0.3366518696658248,0.6118342894325474,0.8332265087851328,0.5424197210217493,0.23081896251181486,-0.48911791119367515,0.22962955132495244,0.5188300087377775,0.5406998552811053,0.9210032570262173,0.18307573033212324,0.34042854071392825,0.869119613276331,0.29669506318527905,1.2546044230084068,1.4455885931926324,1.4175602764950366,0.6856712898764091,1.6037768502015897,1.314712540005614
2018-11-28,0.652881241312455,-0.7124303961034751,0.6369305112955137,0.7938881579454264,0.796109453007425,0.8082476441864174,0.019454017684561002,0.748258776201622,1.0602072686181634,-1.325778735045737,0.4805756358240249,0.7072476338152553,0.8841157532191208,0.634501009438242,0.36134661881095087,-0.34041622087664924,0.4156722371561014,0.7624653409435619,0.688112418665298,1.03972273632671,0.257866014410989,0.32861632463210744,0.894161741031866,0.4247975512982673,1.3965258981362638,1.6833300481233782,1.4770696569219206,0.7512749024021416,1.7403113147622788,1.3943750635666112
2018-11-29,0.6684661868004707,-0.6304831048724937,0.6800471271479086,0.8341200102054798,0.882300072082949,0.7869340843119593,0.19664201543037624,0.8052324663750456,1.0978112249346994,-1.3761481156109547,0.6127453305262244,0.6839153720298211,0.8474665854843527,0.5827338493293004,0.2788984955662347,-0.42575020093182103,0.35666199449278757,0.6978669658054677,0.6579841730209717,1.012367035218453,0.2281175048584642,0.33946255753350146,0.9018642661725198,0.37550301879614234,1.4192253107722024,1.6401651272827593,1.5430495577657706,0.8011499953200536,1.8390524596438889,1.4546261829554241
2018-11-30,0.7519631755335923,-0.5492430448542908,0.6616409423035265,0.7455344672050636,0.7840750876091919,0.76643968101965,0.32360402958864626,0.8124315575726516,1.047850310982516,-1.4562983468587372,0.44443935631805354,0.6998940849636902,0.8944741052753654,0.6305446042641323,0.26640271240811014,-0.5595693844997468,0.3470582019170484,0.7479140806887524,0.6368199510217245,1.032978359803688,0.29816153498791054,0.3708826080696989,0.8907278907029382,0.520828862807167,1.4151075195227991,1.7168648086830285,1.615688653885294,1.0188757199958116,1.9539138765271808,1.5796321227855152
2018-12-03,0.7887759756888675,-0.5292133990446493,0.690857899377362,0.7653811583623618,0.8177287702661435,0.7081444140058921,0.8132450261411134,0.9497343154704293,1.256520184176797,-1.3365974719014506,0.8138311604755472,0.6691083695233541,0.9377273676081974,0.6489737079213461,0.3715486579063906,-0.5290777319384438,0.3792974327856994,0.7395882822045793,0.7710044914083759,1.0680112765085583,0.37153646134959006,0.45953335503892534,1.086906683215629,0.6981057251338945,1.4851015125616907,1.6665238324862428,1.610408245165174,0.9890296625886829,1.9158285393185557,1.5692314046221925
2018-12-04,0.48665450692351425,-0.6623577854595829,0.5839453125630292,0.5349077102323229,0.46068010355327965,0.5962861410919394,0.3034411807730177,0.6755466360019041,1.1014114987067893,-1.5069453468751446,0.504056924537902,0.5866744937211417,0.7275869690312304,0.43969695379319,0.1320595436679561,-0.7705842076430112,0.1215464926303421,0.2154318723932287,0.5952519523480702,0.9626593580882923,0.22517487677847392,0.26654051885855673,0.8751958301983851,0.5191559329454672,1.374985490425669,1.6533526019694087,1.521597154565554,0.8337612653673423,1.7793210787661888,1.4810410895632917
2018-12-06,0.5757167588616364,-0.5903544665485814,0.6385730812944586,0.6528757029699195,0.507920997977413,0.6629199951297857,0.0019595691775515,0.5670658034873295,1.0790459425186694,-1.6968141927152713,0.3510010354788206,0.5999031635194491,0.639193703380729,0.3606747410296406,0.07699240335001935,-0.7779902888646621,-0.08212557942743734,0.06393347770219779,0.551446625268583,0.9826941171459749,0.23902245268284256,0.17120781162412518,0.8907278907029382,0.16480103984203787,1.3505158137192883,1.644560695044531,1.491053857925644,0.8225769101298367,1.753336137978564,1.4950866006145538
2018-12-07,0.3946408953617466,-0.6841315125415078,0.5077913316893874,0.5331679573156942,0.39062493347343835,0.5149802562310255,-0.2179615328173549,0.5325474892452762,1.0281596743185593,-1.619913547136033,0.46802423909897595,0.4727507239500512,0.5553099499544855,0.23745212683817124,-0.06528709961931095,-0.9286906458262005,-0.2456576960556052,-0.12103390528339936,0.40959664313166383,0.8497488497642408,0.10974548710421511,0.19762357024411495,0.7253766489265104,0.044955968534186284,1.238209593524659,1.6093261225113644,1.3882386890917087,0.6477593943411426,1.5788282761951666,1.3488386887600101
